titulo,pre_informacion,cuerpo,post_informacion,ayuda,editable,no_aplica,opcional
Evaluación basada en multiplicidad de criterios,"<p>Se deben establecer los criterios de evaluación que serán aplicados al principio de valor por dinero, indicando por cada criterio la siguiente información:</p>",,,"<p><em>Las convocantes adoptarán los criterios de evaluación que se ajusten al procedimiento de contratación y a la naturaleza del contrato, pudiendo evaluar parámetros de cumplimiento, puntos o porcentajes o la combinación de ambos, para garantizar al Estado las mejores condiciones de contratación.&nbsp;<strong>(</strong></em><strong>En caso de evaluación basada únicamente en precio, se deberá excluir esta cláusula<em>)</em></strong></p>

<p><em>Las convocantes adoptarán los criterios de evaluación que se ajusten al procedimiento de contratación y a la naturaleza del contrato, pudiendo evaluar parámetros de cumplimiento, puntos o porcentajes o la combinación de ambos, para garantizar al Estado las mejores condiciones de contratación.&nbsp;</em></p>

<p><strong><em>Para completar la información de la presente clausula, se deberá tener en cuenta lo siguiente:</em></strong></p>

<ul>
	<li><strong><em>Criterios</em></strong><strong><em>: </em></strong><em>Incluir todos los criterios&nbsp;de evaluación a utilizar en el procedimiento de contratación, teniendo como base a lo&nbsp;dispuesto en el Art 52 de la Ley N° 7021. Ej:&nbsp;Aspecto de Sostenibilidad ambiental, económica y social.</em></li>
	<li><em><strong>Parámetros de Evaluación del criterio:</strong>&nbsp;Parametros especificos para medir el cumplimiento de cada criterio. Ej:&nbsp;Beneficios para protección de la maternidad.</em></li>
	<li><em><strong>Requisitos de acreditación</strong>: Forma de demostrar el cumplimiento cada parámetro de evaluación del criterio. Ej: Informes de cumplimiento o documentación que acredite su cumplimiento.</em></li>
	<li><em><strong>Valor por atributo: </strong>la puntuación o porcentaje otorgado a cada parámetro de evaluación del criterio.</em></li>
	<li><em><strong>Tipo de valor:</strong> indicar si será puntos o porcentaje</em></li>
</ul>

<p>&nbsp;</p>",True,False,True
Ponderación de criterios de evaluación - Multiplicidad de criterios,<p>La ponderación de cada criterio de evaluación especificado en la cláusula anterior será el siguiente:</p>,,,"<p>Cuando el criterio de evaluación sea basado en&nbsp;multiplicidad de criterios se deberá indicar la ponderación otorgada a cada criterio individualizado en la clausula anterior.</p>

<p><em><strong>(</strong></em><strong>En caso de evaluación basada únicamente en precio, se deberá excluir esta cláusula<em>).</em></strong></p>",True,False,True
Análisis de precios ofertados,,"<p>La evaluación de ofertas con el criterio basado únicamente en precio, luego de haber realizado la corrección de errores aritméticos y de ordenar las ofertas presentadas de menor a mayor, el Comité de Evaluación procederá a solicitar a los oferentes una explicación detallada de la composición del precio ofertado de cada ítem, rubro o partida adjudicable, conforme al siguiente parámetro:</p>

<ol>
	<li style=""list-style-type:none"">
	<ol style=""list-style-type:lower-alpha"">
		<li>En contrataciones en general: cuando la diferencia entre el precio ofertado y el precio referencial sea superior al 25% para ofertas por debajo del precio referencial y del 15% para ofertas que se encuentren por encima del referencial establecido por la convocante y difundido con el llamado a contratación.</li>
	</ol>
	</li>
</ol>

<p>Si el oferente no respondiese la solicitud, o la respuesta no sea suficiente para justificar el precio ofertado del bien o servicio, el precio será declarado inaceptable y la oferta rechazada.</p>

<p>El análisis de los precios, con esta metodología, será aplicado a cada ítem, rubro o partida que componga la oferta y en cada caso deberá ser debidamente fundada la decisión adoptada por la Convocante en el ejercicio de su facultad discrecional.</p>

<p>&nbsp;</p>

<p>Para la evaluación de ofertas basada en la multiplicidad de criterios, en cuanto al análisis del precio se podrá considerar el parámetro dispuesto en el presente apartado.</p>",,,False,False,False
Composición de Precios,"<p>La estructura mínima del desgloce de composición de los precios, será:</p>",,"<p>El oferente podrá presentar junto con su oferta el desgloce de composición de precios, cuando su oferta se encuentre fuera de los parámetros establecidos en la cláusula anterior.&nbsp;</p>","<p>En este apartado, la convocante deberá establecer la estructura mínima del desgloce de composición de los precios, que deberá ser considerada por los oferentes en caso de superar los parámetros establecidos para los precios referenciales, al momento de su justificación.</p>",True,False,False
Margen de preferencia en procedimientos de contratación de carácter internacional,,"<p>En los procedimientos de contratación de carácter internacional, las convocantes otorgarán el beneficio de margen de preferencia del 10% (diez por ciento), a las ofertas que incorporen:</p>

<ol>
	<li>El empleo de los recursos humanos del país.</li>
	<li>La adquisición y locación de bienes producidos en la República del Paraguay.</li>
</ol>

<p>Para el otorgamiento del beneficio, los Oferentes deberán acreditar como mínimo el porcentaje de contenido nacional establecido en la reglamentación vigente en la materia.<strong> </strong></p>",,,False,False,False
Requisitos documentales para evaluación de las condiciones de participación,,"<ol>
	<li>Formulario de Oferta (*)</li>
</ol>

<p style=""margin-left:20px; margin-right:19px""><em>[El formulario de oferta y lista de precios, generados electrónicamente a través del SICP, deben ser completados y firmados </em><em>por el oferente.</em></p>

<p style=""margin-left:20px; margin-right:19px""><em>En caso de que se emplee el módulo de oferta electrónica se considerará que el listado de ítems forma parte del formulario </em><em>de oferta electrónica, y deberá sujetarse en todo lo demás a la reglamentación vigente.]</em></p>

<ol start=""2"">
	<li>Garantía de Mantenimiento de Oferta (*)</li>
</ol>

<p style=""margin-left:20px; margin-right:19px""><em>La garantía de</em><em> </em><em>mantenimiento</em><em> </em><em>de</em><em> </em><em>oferta debe</em><em> </em><em>ser</em><em> </em><em>extendida, bajo</em><em> </em><em>la forma establecida en el SICP. </em></p>

<ol start=""3"">
	<li>Certificado de Cumplimiento con la Seguridad Social (**)</li>
	<li>Certificado de Producto y Empleo Nacional, emitido por el MIC, en caso de contar. (**)</li>
	<li>Certificado de Cumplimiento Tributario. (**)</li>
	<li>Patente comercial del municipio en donde esté asentado el establecimiento del oferente. (**)</li>
	<li>Declaración Jurada de “Declaración de Miembros”, de conformidad con el formulario estándar &nbsp;– Sección Formularios (**).</li>
	<li>Documentos legales. Oferentes</li>
</ol>

<p>8.1. Personas Físicas.</p>

<ol>
	<li style=""list-style-type:none"">
	<ol style=""list-style-type:lower-alpha"">
		<li>Fotocopia simple de la Cédula de Identidad del firmante de la oferta. (*)</li>
		<li>Constancia de inscripción en el Registro Único de Contribuyentes – RUC (*)</li>
		<li>En el caso que suscriba la oferta otra persona en su representación, deberá acompañar una fotocopia simple de su cédula de identidad y una fotocopia simple del poder suficiente otorgado por Escritura Pública para presentar la oferta y representarlo en los actos de la licitación. No es necesario que el poder esté inscripto en el Registro de Poderes. (*)</li>
	</ol>
	</li>
</ol>

<p>8.2. Personas Jurídicas.&nbsp;</p>

<ol>
	<li style=""list-style-type:none"">
	<ol>
		<li style=""list-style-type:none"">
		<ol>
			<li style=""list-style-type:none"">
			<ol style=""list-style-type:lower-alpha"">
				<li>Fotocopia simple de los documentos que acrediten la existencia legal de la persona jurídica tales como la Escritura Pública de Constitución y protocolización de los Estatutos Sociales. Los estatutos deberán estar inscriptos en la Sección Personas Jurídicas de la Dirección de Registros Públicos. (*)</li>
				<li>Constancia de inscripción en el Registro Único de Contribuyentes. (*)</li>
				<li>Fotocopia simple de los documentos de identidad de los representantes o apoderados de la sociedad. (*)</li>
				<li>Copia autenticada de la última declaración jurada presentada a la Superintendencia de Seguros con sello de recepción de la misma, respecto al cumplimiento del Margen de Solvencia y del fondo de Garantía establecido en la Ley N° 827/96 “De Seguros” y sus reglamentaciones y en la que se consignen los coeficientes de solvencia y del Fondo de Garantía asignados a la aseguradora, correspondiente al último periodo.</li>
				<li>Fotocopia simple de los documentos que acrediten las facultades del firmante de la oferta para comprometer al oferente. Estos documentos pueden consistir en: un poder suficiente otorgado por Escritura Pública (no es necesario que esté inscripto en el Registro de Poderes); o los documentos societarios que justifiquen la representación del firmante, tales como las actas de asamblea y de directorio en el caso de las sociedades anónimas. (*)</li>
			</ol>
			</li>
		</ol>
		</li>
	</ol>
	</li>
</ol>

<p>8.3. Oferentes Coaseguradores.</p>

<p style=""margin-left:93px; margin-right:39px"">a. Cada integrante del coaseguro que sea una persona jurídica domiciliada en la República del Paraguay deberá presentar los documentos requeridos para Oferentes Individuales especificados en el apartado Oferentes individuales. Personas Jurídicas. (*)</p>

<p style=""margin-left:93px; margin-right:39px"">b. Original o fotocopia del coaseguro constituido o del acuerdo de intención de constituir el coaseguro. Las formalidades de los acuerdos de intención y de los coaseguros serán determinadas por la Dirección Nacional de Contrataciones Públicas (DNCP). (*)</p>

<p style=""margin-left:93px; margin-right:39px"">c. Fotocopia simple de los documentos que acrediten las facultades de los firmantes del acuerdo de intención de coasegurarse. Estos documentos pueden consistir en (*):</p>

<p style=""margin-left:93px; margin-right:39px"">e. Un poder suficiente otorgado por escritura pública por cada miembro del coaseguro (no es necesario que esté inscripto en el Registro de Poderes); o</p>

<p style=""margin-left:93px; margin-right:39px"">f. Los documentos societarios de cada miembro del coaseguro, que justifiquen la representación del firmante, tales como actas de asamblea y de directorio en el caso de las sociedades anónimas.</p>

<p style=""margin-left:93px; margin-right:39px"">&nbsp;g. Fotocopia simple de los documentos que acrediten las facultades de los firmantes de la oferta para comprometer al coaseguro, cuando se haya formalizado el coaseguro. Estos documentos pueden consistir en (*):</p>

<p style=""margin-left:93px; margin-right:39px"">&nbsp;</p>

<p style=""margin-left:93px; margin-right:39px"">Un poder suficiente otorgado por escritura pública por la empresa piloto del coaseguro (no es necesario que esté inscripto en el Registro de Poderes); o los documentos societarios de la empresa piloto, que justifiquen la representación del firmante, tales como actas de asamblea y de directorio en el caso de las sociedades anónimas.</p>

<p style=""margin-left:93px; margin-right:39px"">&nbsp;</p>",,,False,False,False
Capacidad Financiera,"<p style=""margin-left:7px"">Con el objetivo de calificar la situación financiera del oferente, se considerarán los siguientes índices:</p>","<p>1. Margen de solvencia: <em>[no podrá ser inferior al mínimo requerido a las compañías aseguradoras, por la Superintendencia de Seguros, es decir, uno (1)]</em></p>

<p>2. Calificación de la aseguradora: <em>[no podrá ser inferior a BBB o similar].</em></p>

<p>3. Patrimonio propio no comprometido:<em> [conforme al monto de los riesgos a asegurar]</em></p>

<p>4. Fondo de garantía: <em>[conforme al monto de los riesgos a asegurar)</em></p>

<p>5. Cantidad de reaseguradores: [<em>conforme al monto de los riesgos a asegurar.]</em>&nbsp;<em>(La cantidad de reaseguradores requeridos dependerá del monto de la contratación).</em></p>

<p>6. Calificación de Reaseguradores: <em>[no podrá ser inferior al mínimo requerido a las compañías aseguradoras, por la Superintendencia de Seguros, es decir, BBB (Standard &amp; Poor's) o similar</em>]</p>","<p>El oferente presentará una declaración jurada en la que exponga cada uno de los datos señalados en los puntos 1, 3, 4, 5.</p>

<p>El oferente deberá presentar el informe de la Calificadora de Riesgo para el punto 2 y la presentación de la lista donde consta la inscripción de la reaseguradora ante el órgano rector para el punto 6.</p>","<p><em>(Los criterios de calificación deberán ser elaborados conforme al monto de los riesgos a asegurar, teniendo en cuenta además el sistema de adjudicación que será utilizado, pudiendo la convocante optar por lo establecido en la proforma de este documento estándar, como requisito mínimo a ser establecido como condición de participación). (Se deberá actualizar los índices a ser evaluados por la convocante).</em></p>",True,False,False
Requisitos documentales para la evaluación de la capacidad financiera,"<p>Para evaluar el presente criterio, el oferente deberá presentar las siguientes documentaciones:</p>","<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width:500px"">
	<tbody>
		<tr>
			<td>a</td>
			<td>[Agregar otros documentos dependiendo de la obligación tributaria]</td>
		</tr>
		<tr>
			<td>b</td>
			<td>[Agregar otros documentos dependiendo de la obligación tributaria]</td>
		</tr>
		<tr>
			<td>c</td>
			<td>[Agregar otros documentos dependiendo de la obligación tributaria]</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>",,"<p>En este apartado se deberán indicar los documentos requeridos para la evaluación, teniendo en cuenta el cierre de las obligaciones tributarias de cada ejercicio fiscal y las actualizaciones normativas en materia tributaria.</p>",True,False,False
Experiencia requerida,"<p style=""margin-left:7px"">Con el objetivo de calificar la experiencia del oferente, se considerarán los siguientes índices:</p>","<p>1. El oferente deberá demostrar experiencia en coberturas a instituciones públicas y/o empresas privadas, de los años <em>(completar años)</em>. Las coberturas deberán ser por un valor igual o superior al <em>(completar valor porcentual)</em> % del monto total ofertado.</p>

<p>2. Deberá demostrar el cumplimiento de siniestros cancelados a instituciones públicas y privadas de los años <em>(completar años)</em>.&nbsp; En caso de haberse reportado siniestros, la cantidad de siniestros indemnizados deberá ser superior al <em>(completar el valor porcentual)</em> % del total denunciado.</p>",,"<p><em>[Los criterios de calificación deberán ser elaborados conforme al monto de los riesgos a asegurar, teniendo en cuenta además el sistema de adjudicación que será utilizado, pudiendo la convocante optar por lo establecido en la proforma de este documento estándar, como requisito mínimo a ser establecido como condición de participación].</em><em> </em></p>",True,False,False
Requisitos documentales para la evaluación de la experiencia.,,"<ol>
	<li>Declaración jurada de coberturas a instituciones públicas y/o empresas privadas de los años indicados en el criterio mencionado. En dicha declaración deberá constar:&nbsp;El tomador,&nbsp;Riesgo asegurado,&nbsp;Suma asegurada,&nbsp;Prima,&nbsp;Vigencia de dichas coberturas,&nbsp;Siniestros ocurridos si hubiere)</li>
	<li>Declaración jurada de cumplimiento de siniestros cancelados a instituciones públicas y privadas</li>
	<li>Copia de facturaciones y/o recepciones finales que avalen la experiencia requerida.</li>
	<li><em>(Agregar otros documentos)</em></li>
</ol>",,,True,False,False
Capacidad Técnica,"<p style=""margin-left:7px; margin-right:17px"">El oferente deberá proporcionar evidencia documentada que demuestre su cumplimiento con los siguientes requisitos de capacidad técnica:</p>",,"<p>En caso de requerirse REASEGURO FACULTATIVO, carta de compromiso del (los) reasegurador (es), inscripto (s) en la Superintendencia de Seguros, dirigida al oferente, manifestando que, en caso de adjudicarse la cobertura licitada, cubrirá cuanto menos el porcentaje requerido del riesgo asegurado, con la mención de su participación, así como el país de origen, dirección, y su calificación. En el caso de la participación de corredor de reaseguro (Bróker), este deberá estar inscripto en la Superintendencia de Seguros y presentar una carta compromiso dirigida al oferente manifestando su compromiso de colocación con uno o varios reaseguradores que, en caso de adjudicación de la cobertura licitada, cubrirá cuanto menos el porcentaje requerido del riesgo asegurado. Si el capital en riesgo licitado supera la capacidad automática del contrato de reaseguro del oferente, éste deberá colocar el excedente del capital en riesgo en reaseguros facultativos en la forma señalada precedentemente. Si la oferente manifiesta que el capital en riesgo licitado es parcial o totalmente cubierto por su contrato automático de reaseguros, deberá acompañar copia autenticada de dicho documento.</p>

<p>En caso de que el oferente, realice cesión de riesgos, deberá presentar documentación que pruebe o evidencie que los riesgos a ser cedidos cubren la cuantía necesaria para el cumplimiento de la reglamentación establecida por el ente regulador referente a la capacidad de retención mínima requerida. Esto podrá consistir en una carta compromiso de los reaseguradores o corredores de reaseguros dirigida al oferente o copia autenticada de los contratos de reaseguro, en los que se evidencia fehacientemente la magnitud del capital en riesgo a ser cedida por la cedente (oferente/aseguradora) para la cobertura respectiva en caso de adjudicación del seguro solicitado. Los reaseguradores o corredores de reaseguros que emitan el presente documento, deben estar inscriptos en la Superintendencia de Seguros.</p>

<p>En caso de que intervengan corredores de reaseguros en la colocación del Riesgo, los mismos deberán estar inscriptos en el registro de corredores que lleva la Superintendencia de Seguros. Para el efecto, deberán presentar una copia de la resolución de inscripción y/o renovación correspondiente emitida por dicha autoridad de control. Además de una declaración jurada de que tal disposición sigue vigente.</p>",,True,False,False
Requisitos documentales para evaluar el criterio de capacidad técnica,<p>Los siguientes documentos serán los considerados para la evaluación del presente criterio:</p>,,,,True,False,False
Otros criterios que la convocante requiera,<p>Otros criterios para la evaluación de las ofertas a ser considerados en ésta contratación serán:</p>,,,"<p>En caso de que consideren pertinente, en este apartado deberán indicar otros criterios específicos a ser requerido, con los requisitos documentales.</p>

<p>De no ser requerido, se deberá seleccionar la opción: Excluir Cláusula.</p>",True,False,True
Otros documentos solicitados a presentar con la oferta,,"<ul>
	<li>Constancia emitida por la convocante, o declaración jurada del oferente, sobre la visita de inspección a los locales y/o lugares en que se encuentran los bienes e instalaciones, cuya cobertura es objeto de esta licitación.</li>
	<li>Declaración jurada de poseer capacidad financiera, donde se indique claramente el margen de solvencia, el patrimonio propio no comprometido, de contar con fondo de garantía, cantidad de reaseguradores, éste último de ser requerido por la convocante.</li>
	<li>Copia simple del informe de la Calificadora de Riesgo donde se detalle la calificación de la Aseguradora.</li>
	<li>Copia simple de la constancia de inscripción de la Reaseguradora ante la Superintendencia de Seguros del BCP.</li>
	<li>Declaración jurada donde se informe de todos los mecanismos de transferencias de riesgos, individualizándose el tipo de contrato aplicado.</li>
	<li>En caso de requerir reaseguro FACULTATIVO, Carta de compromiso del (los) reasegurador (es) inscripto (s) en la Superintendencia de Seguros, dirigida al oferente, manifestando que, en caso de adjudicación de la cobertura licitada, cubrirá cuanto menos el porcentaje requerido del riesgo asegurado, con la mención de su participación, así como el país de origen, dirección y su calificación.</li>
	<li>Declaración jurada de la aseguradora donde indique que posee capacidad de retención para la cobertura.</li>
	<li>En caso de la participación del corredor de reaseguro (Bróker), éste deberá estar inscripto en la Superintendencia de Seguros, y presentar una carta compromiso dirigida al oferente manifestando su compromiso de colocación con uno o varios reasegurador/es que en caso de adjudicación de la cobertura licitada, cubrirá cuanto menos el porcentaje requerido del riesgo asegurado.</li>
	<li>Declaración jurada de información sobre pólizas emitidas a favor de instituciones del sector público de conformidad al Formulario&nbsp;de la Sección “Formularios”.&nbsp;</li>
	<li>Declaración jurada de información sobre siniestros indemnizados a favor de instituciones del sector público de conformidad al Formulario&nbsp;de la Sección “Formularios”.&nbsp;</li>
</ul>",,"<p><em>(La Convocante podrá indicar otros documentos a ser requeridos a los oferentes, si los considera necesarios para la evaluación de la oferta.)</em></p>",True,False,False
Aclaración de las ofertas,,"<p>Con el objeto de realizar la revisión, evaluación, comparación y posterior calificación de ofertas, el Comité de Evaluación podrá solicitar a los oferentes, aclaraciones respecto de sus ofertas, dichas solicitudes y las respuestas de los oferentes se realizarán por escrito.</p>

<p>A los efectos de confirmar la información o documentación suministrada por el oferente, el Comité de Evaluación, podrá solicitar aclaraciones a cualquier fuente pública o privada de información.</p>

<p>Las aclaraciones de los oferentes que no sean en respuesta a aquellas solicitadas por la convocante, no serán consideradas.</p>

<p>No se solicitará, ofrecerá, ni permitirá ninguna modificación a los precios ni a la sustancia de la oferta, excepto para confirmar la corrección de errores aritméticos.</p>",,,False,False,False
"Disconformidad, errores y omisiones",,"<p>Siempre y cuando una oferta se ajuste sustancialmente a las bases de la contratación, el Comité de Evaluación, requerirá que cualquier disconformidad u omisión que no constituya una desviación significativa, sea subsanada en cuanto a la información o documentación que permita al Comité de Evaluación realizar la calificación de la oferta.</p>

<p>A tal efecto, el Comité de Evaluación emplazará por escrito al oferente a que presente la información o documentación necesaria, dentro de un plazo razonable no menor a un día hábil, bajo apercibimiento de rechazo de la oferta. El Comité de Evaluación podrá reiterar el pedido cuando la respuesta no resulte satisfactoria, toda vez que no se viole el principio de igualdad.</p>

<p>Con la condición de que la oferta cumpla sustancialmente con los Documentos de la Licitación, la convocante corregirá errores aritméticos de la siguiente manera y notificará al oferente para su aceptación:</p>

<p>a)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Si hay una discrepancia entre un precio unitario y el precio total obtenido al multiplicar ese precio unitario por las cantidades correspondientes, prevalecerá el precio unitario y el precio total será corregido.</p>

<p>b)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Si hay un error en un total que corresponde a la suma o resta de subtotales, los subtotales prevalecerán y se corregirá el total.</p>

<p>c)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; En caso que el oferente haya cotizado su precio en guaraníes con décimos y céntimos la convocante procederá a realizar el redondeo hacia abajo.</p>

<p>Si hay una discrepancia entre palabras y cifras, prevalecerá el monto expresado en palabras a menos que la cantidad expresada en palabras corresponda a un error aritmético, en cuyo caso prevalecerán las cantidades en cifras de conformidad con los párrafos (a) y (b) mencionados.</p>",,,False,False,False
Criterios de desempate de ofertas,,"<p>En caso de que existan dos o más oferentes solventes que cumplan con todos los requisitos establecidos en el pliego de bases y condiciones del procedimiento de contratación, igualen en precio y sean sus ofertas las más bajas, el comité de evaluación determinará cuál de ellas es la mejor calificada para ejecutar el contrato utilizando los criterios dispuestos&nbsp;para el efecto por la DNCP en la reglamentación pertinente.</p>",,,False,False,False
Criterios de Adjudicación,,"<p>De acuerdo con el mercado, el objeto del contrato y el ciclo de vida del bien o servicio, podrá usarse uno o la combinación de varios criterios, previstos en el artículo 52 de la Ley N° 7021/22 ‘’De Suministro y Contrataciones Públicas’’.</p>

<p>La adjudicación de la oferta solo podrá fundamentarse en la evaluación de los criterios señalados en los documentos del procedimiento de contratación.</p>

<p>En los procedimientos de contratación en los cuales se aplique la combinación de criterios, la evaluación de las ofertas se llevará a cabo con base a la metodología, criterios y parámetros establecidos en los pliegos de bases y condiciones que permitan establecer cuál es aquella que ofrece mayor valor por dinero.</p>

<p>En los demás casos, la convocante adjudicará el contrato al oferente cuya oferta haya sido evaluada como la más baja y cumpla&nbsp;sustancialmente con los requisitos de las bases y condiciones, siempre y cuando la convocante determine que el oferente está calificado para ejecutar el contrato satisfactoriamente.</p>",,"<p><em>(En el caso de que la evaluación sea basada en criterios de valor por dinero, se debe incluir un campo en el que se detalle la forma de evaluar tales criterios.</em></p>

<p><em>Ejemplo: el puntaje, agregar o restar un porcentaje a los precios al solo efecto de la evaluación, otros criterios de evaluación que se adecuen a los principios rectores).</em></p>",False,False,False
Notificaciones,,"<p style=""margin-left:20px; margin-right:22px"">Cuando la convocante opte por notificar la adjudicación a través del SICP, la notificación de la misma será realizada de manera automática, a los correos declarados en el Registro de Proveedores del Estado de los oferentes presentados. A efectos de la notificación oficial, solo serán considerados tales correos electrónicos. La notificación comprenderá la Resolución de la adjudicación, el informe de evaluación.</p>

<p style=""margin-left:20px; margin-right:22px"">En sustitución de la notificación a través del SICP, las Convocantes podrán dar a conocer la adjudicación por medios físicos o electrónicos a cada uno de los oferentes, acompañados de la copia íntegra de la resolución de adjudicación y del informe de evaluación, de conformidad al artículo 62 del Decreto.</p>

<p style=""margin-left:20px; margin-right:22px"">La no entrega del informe en ocasión de la notificación, suspende el plazo para formular protestas hasta tanto la convocante haga entrega de dicha copia al oferente solicitante.</p>

<p style=""margin-left:20px; margin-right:22px"">3. En caso de la convocante opte por la notificación física a los oferentes participantes, deberá realizarse únicamente con el acuse de recibo y en el mismo con expresa mención de haber recibido el informe de evaluación y la resolución de adjudicación.</p>

<p style=""margin-left:20px; margin-right:22px"">4. Las cancelaciones o declaraciones desiertas deberán ser notificadas a todos los oferentes, según el procedimiento indicado precedentemente.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>

<p style=""margin-left:20px; margin-right:22px"">5. Las notificaciones realizadas en virtud al contrato, deberán ser por escrito y dirigirse a la dirección indicada en el contrato.</p>

<p>&nbsp;</p>",,,False,False,False
Audiencia Informativa,,"<p>Una vez notificado el resultado del proceso, el oferente tendrá la facultad de solicitar una audiencia a fin de que la convocante explique los fundamentos que motivan su decisión.</p>

<p>La solicitud de audiencia informativa no suspenderá ni interrumpirá el plazo para la interposición de protestas.</p>

<p>El procedimiento de realización de la misma deberá ajustarse a las reglamentaciones vigentes para el efecto.</p>",,,False,False,False
Consideraciones generales,,"<p>Considerando la complejidad técnica del servicio del seguro, para llevar a cabo de manera eficaz la contratación del mismo, la Convocante deberá tomar las medidas necesarias para contar con una política de administración del riesgo y conocer básicamente los riesgos a asegurar. Deberá abarcar como mínimo, una descripción clara de los bienes, personas y locales.</p>

<p>La cobertura tiene como objetivo proporcionar suficiente información para que los oferentes puedan preparar sus ofertas eficientemente y con precisión. La lista de precios que se constituye en un anexo del formulario de ofertas, y éste último, deberán ser descargados del SICP, formando ambos un solo documento.</p>

<p>Los plazos deberán ser previstos cuidadosamente, teniendo en cuenta que la fecha y hora establecidas determinarán el momento desde el cual empiezan las obligaciones del asegurador.</p>

<p>Las coberturas licitadas deberán establecerse por lotes o ítems.&nbsp;</p>

<p>La convocante deberá incluir en esta sección, mínimamente, información acerca de:</p>

<ol>
	<li>Los riesgos a asegurar, incluyendo una descripción clara de los bienes, personas y/o locales, que serán asegurados y de las demás medidas de seguridad con que cuentan para mitigar los riesgos;</li>
	<li>El monto del capital o de los capitales a ser asegurados;</li>
	<li>La vigencia de cobertura solicitada (se determinará desde una fecha y hora de inicio hasta una fecha y hora de finalización).</li>
	<li>Tipo de cobertura que requiere (en cuanto corresponda a prorrata, o a primer riesgo absoluto).</li>
	<li>Base ocurrencia o base reclamo (en éste último caso se debe definir claramente el periodo de retroactividad de todo el contrato o de cada cobertura si es el caso).</li>
	<li>Formas de coparticipación que ofrece: limites globales de cobertura, franquicias, carencias, exclusiones toleradas.</li>
</ol>

<p>Las pólizas emitidas por la adjudicada, deberán incluir una cláusula que rezará cuanto sigue: <em>“la cobertura de la póliza se regirá conforme al pliego de bases y condiciones y puntualmente a las especificaciones técnicas establecidas en el mismo. En caso de diferencias con las estipulaciones establecidas en la póliza, endosos u otros instrumentos de cobertura emitidos por la aseguradora, prevalecerá lo establecido en el PBC”</em>.</p>

<p>La inserción de dicha cláusula se funda en lo establecido en los Arts. 669, 674, 715 y 1555 del Código Civil Paraguayo, el que establece la posibilidad de acordar condiciones particulares en los contratos.</p>",,,False,False,False
